Brand,Name,MRP,Discount_Price,Rating,Reviews
OnePluse,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹21,999","₹21,970",4.4,"31,541 Ratings & 2,231 Reviews"
OnePluse,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹21,999","₹21,900",4.4,"31,541 Ratings & 2,231 Reviews"
OnePluse,"OnePlus 11R 5G (Sonic Black, 256 GB)","₹44,999","₹44,990",4.5,"8,889 Ratings & 683 Reviews"
OnePluse,"OnePlus Nord CE3 5G (Grey Shimmer, 256 GB)","₹28,999","₹28,370",4.4,"2,231 Ratings & 194 Reviews"
OnePluse,"OnePlus Nord CE3 5G (Grey Shimmer, 128 GB)","₹26,999","₹24,920",4.4,"3,044 Ratings & 292 Reviews"
OnePluse,"OnePlus Nord CE3 5G (Aqua Surge, 128 GB)","₹26,999","₹24,975",4.4,"3,044 Ratings & 292 Reviews"
OnePluse,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹19,999","₹19,883",4.4,"31,541 Ratings & 2,231 Reviews"
OnePluse,"OnePlus 10R (Forest Green, 128 GB)","₹38,999","₹29,000",4.3,"5,638 Ratings & 355 Reviews"
OnePluse,"OnePlus Nord 3 5G (Misty Green, 128 GB)","₹33,999","₹32,495",4.4,"2,492 Ratings & 279 Reviews"
OnePluse,"OnePlus 11R 5G (Galactic Silver, 256 GB)","₹44,999","₹44,899",4.5,"8,889 Ratings & 683 Reviews"
OnePluse,"OnePlus Nord 3 5G (Misty Green, 256 GB)","₹37,999","₹37,737",4.4,838 Ratings & 69 Reviews
OnePluse,"OnePlus Nord 3 5G (Tempest Gray, 128 GB)","₹33,999","₹32,887",4.4,"2,492 Ratings & 279 Reviews"
Realme,"realme C2 (Diamond Blue, 16 GB)","₹7,999","₹6,999",4.4,"9,19,088 Ratings & 71,305 Reviews"
Realme,"realme C2 (Diamond Black, 16 GB)","₹7,999","₹6,999",4.4,"9,19,088 Ratings & 71,305 Reviews"
Realme,"realme C2 (Diamond Blue, 32 GB)","₹7,999","₹7,490",4.4,"9,19,088 Ratings & 71,305 Reviews"
Realme,"realme C11 2021 (Cool Blue, 32 GB)","₹7,999","₹7,499",4.4,"2,38,400 Ratings & 10,236 Reviews"
Realme,"realme C11 2021 (Cool Grey, 32 GB)","₹7,999","₹7,499",4.4,"2,38,400 Ratings & 10,236 Reviews"
Realme,"realme C20 (Cool Blue, 32 GB)","₹7,999","₹7,499",4.4,"3,01,924 Ratings & 14,174 Reviews"
Realme,"realme C20 (Cool Grey, 32 GB)","₹7,999","₹7,499",4.4,"3,01,924 Ratings & 14,174 Reviews"
Realme,"realme C2 (Diamond Black, 32 GB)","₹9,999","₹7,824",4.4,"9,19,088 Ratings & 71,305 Reviews"
Realme,"realme Narzo 50i (Mint Green, 32 GB)","₹9,999","₹7,900",4.5,"1,25,439 Ratings & 4,976 Reviews"
Realme,"realme Narzo 50i Prime (Mint Green, 64 GB)","₹8,999","₹7,977",4.1,988 Ratings & 50 Reviews
Realme,"realme Narzo 50i Prime (Dark Blue, 64 GB)","₹11,999","₹7,985",4.1,988 Ratings & 50 Reviews
Realme,"realme narzo 50i Prime (Mint Green, 32 GB)","₹9,999","₹7,999",4.2,409 Ratings & 16 Reviews
Realme,"realme C30s (Night Black, 64 GB)","₹10,999","₹8,199",4.2,"7,591 Ratings & 419 Reviews"
Realme,"realme Narzo 30A (Laser Blue, 32 GB)","₹10,999","₹8,399",4.3,"1,31,976 Ratings & 9,519 Reviews"
Realme,"realme C21Y (Cross Black, 64 GB)","₹8,999","₹8,499",4.5,"2,57,339 Ratings & 9,549 Reviews"
Realme,"realme C21Y (Cross Blue, 64 GB)","₹10,999","₹8,499",4.5,"2,57,339 Ratings & 9,549 Reviews"
Realme,"realme 3i (Diamond Blue, 32 GB)","₹11,999","₹8,499",4.4,"3,04,505 Ratings & 26,338 Reviews"
Realme,"realme 3 (Dynamic Black, 32 GB)","₹11,999","₹8,499",4.5,"4,57,093 Ratings & 43,571 Reviews"
Realme,"realme C31 (Light Silver, 64 GB)","₹10,999","₹8,749",4.4,"67,147 Ratings & 3,060 Reviews"
Realme,"realme C31 (Dark Green, 64 GB)","₹8,999","₹8,749",4.4,"67,147 Ratings & 3,060 Reviews"
Oppo,"OPPO A1K (Red, 32 GB)","₹10,999","₹8,199",4.3,"14,236 Ratings & 882 Reviews"
Oppo,"OPPO A17k (Blue, 64 GB)","₹12,999","₹8,499",4.5,"13,135 Ratings & 307 Reviews"
Oppo,"OPPO A17k (Navy Blue, 64 GB)","₹12,999","₹8,499",4.5,"13,135 Ratings & 307 Reviews"
Oppo,"OPPO A15 (Dynamic Black, 32 GB)","₹12,990","₹8,710",4.3,"2,395 Ratings & 126 Reviews"
Oppo,"OPPO A16E (Midnight Black, 32 GB)","₹13,990","₹8,749",4.3,"1,013 Ratings & 43 Reviews"
Oppo,"OPPO A16E (White, 32 GB)","₹13,990","₹8,849",4.3,"1,013 Ratings & 43 Reviews"
Oppo,"OPPO A15 (Rainbow Silver, 32 GB)","₹12,990","₹8,850",4.3,"2,395 Ratings & 126 Reviews"
Oppo,"OPPO A17k (Gold, 64 GB)","₹12,999","₹8,890",4.5,"13,135 Ratings & 307 Reviews"
Oppo,"OPPO A11K (Flowing Silver, 32 GB)","₹10,990","₹8,990",4.2,"7,442 Ratings & 533 Reviews"
Oppo,"OPPO A12 (Blue, 32 GB)","₹10,990","₹8,990",4.4,"75,839 Ratings & 4,509 Reviews"
Oppo,"OPPO A17K (Gold, 64 GB)","₹13,999","₹8,999",4.5,"13,135 Ratings & 307 Reviews"
Oppo,"OPPO A16k (White, 32 GB)","₹13,990","₹9,390",4.2,726 Ratings & 39 Reviews
Oppo,"OPPO A18 (Glowing Black, 64 GB)","₹14,999","₹9,390",4.3,585 Ratings & 32 Reviews
Oppo,"OPPO A1K (Black, 32 GB)","₹10,999","₹9,899",4.3,"14,236 Ratings & 882 Reviews"
Oppo,"OPPO A3s (Red, 16 GB)","₹10,990","₹9,990",4.4,"29,672 Ratings & 2,393 Reviews"
Oppo,"OPPO A12 (Deep Blue, 32 GB)","₹10,990","₹9,990",4.4,"75,839 Ratings & 4,509 Reviews"
Oppo,"OPPO A12 (Black, 32 GB)","₹14,999","₹9,990",4.4,"75,839 Ratings & 4,509 Reviews"
Oppo,"OPPO A18 (Glowing Black, 64 GB)","₹14,999","₹9,999",4.3,585 Ratings & 32 Reviews
Oppo,"OPPO A18 (Glowing Blue, 64 GB)","₹13,999","₹9,999",4.3,585 Ratings & 32 Reviews
Oppo,"OPPO A16E (Blue, 32 GB)","₹12,990","₹9,999",4.3,"1,013 Ratings & 43 Reviews"
Oppo,"OPPO A33 (Mint Cream, 32 GB)","₹12,990","₹10,490",4.4,"51,885 Ratings & 3,358 Reviews"
Oppo,"OPPO A33 (Moonlight Black, 32 GB)","₹12,990","₹10,490",4.4,"51,885 Ratings & 3,358 Reviews"
Oppo,"OPPO A15 (Mystery Blue, 32 GB)","₹11,990","₹10,890",4.3,"2,395 Ratings & 126 Reviews"
Vivo,"vivo Y02 (Sunset Gold, 32 GB)","₹12,999","₹7,137",4.2,"1,175 Ratings & 57 Reviews"
Vivo,"vivo Y1S (Olive Black, 32 GB)","₹10,990","₹7,490",3.8,345 Ratings & 24 Reviews
Vivo,"vivo Y1S (Aurora Blue, 32 GB)","₹10,990","₹7,799",3.8,345 Ratings & 24 Reviews
Vivo,"vivo Y01 (Sapphire Blue, 32 GB)","₹12,999","₹7,999",4.2,"1,756 Ratings & 93 Reviews"
Vivo,"vivo Y02 (Cosmic Grey, 32 GB)","₹12,999","₹8,397",4.2,"1,175 Ratings & 57 Reviews"
Vivo,"vivo Y01 (Elegant Black, 32 GB)","₹12,999","₹8,490",4.2,"1,756 Ratings & 93 Reviews"
Vivo,"vivo Y01A (Sapphire Blue, 32 GB)","₹12,999","₹8,499",4.2,96 Ratings & 6 Reviews
Vivo,"vivo Y02t (Sunset Gold, 64 GB)","₹15,999","₹8,749",4.2,"2,569 Ratings & 111 Reviews"
Vivo,"vivo Y02t (Cosmic Grey, 64 GB)","₹15,999","₹8,999",4.2,"2,569 Ratings & 111 Reviews"
Vivo,"vivo Y02 (Sunset Gold, 32 GB)","₹11,999","₹8,999",3.9,14 Ratings & 2 Reviews
Vivo,"vivo Y02 (Orchid Blue, 32 GB)","₹12,999","₹9,299",4.2,"1,175 Ratings & 57 Reviews"
Vivo,"vivo Y16 (Drizzling Gold, 64 GB)","₹15,999","₹9,639",4.3,"5,945 Ratings & 324 Reviews"
Vivo,"vivo Y16 (Steller Black, 64 GB)","₹15,999","₹9,679",4.3,"5,945 Ratings & 324 Reviews"
Vivo,"vivo Y91i (Ocean Blue, 32 GB)","₹16,990","₹9,990",4.3,"43,225 Ratings & 2,909 Reviews"
Vivo,"vivo Y21E (Diamond Glow, 64 GB)","₹14,490","₹9,990",4.3,397 Ratings & 25 Reviews
Vivo,"vivo Y12s (Phantom Black, 32 GB)","₹13,999","₹9,990",4.3,"16,384 Ratings & 1,124 Reviews"
Vivo,"vivo Y12s (Glacier Blue, 32 GB)","₹13,990","₹9,990",4.3,"16,384 Ratings & 1,124 Reviews"
Vivo,"vivo Y15c (Mystic Blue, 32 GB)","₹13,999","₹10,034",4.2,"1,551 Ratings & 103 Reviews"
Vivo,"vivo Y16 (Drizzling Gold, 64 GB)","₹15,999","₹10,143",4.2,"3,050 Ratings & 156 Reviews"
Vivo,"vivo Y15s (Mystic Blue, 32 GB)","₹13,999","₹10,349",4.3,"4,618 Ratings & 321 Reviews"
Vivo,"vivo Y16 (Drizzling Gold, 32 GB)","₹13,999","₹10,370",4.2,"3,050 Ratings & 156 Reviews"
Google,"Google Pixel 3 (Pink, 64 GB)","₹22,999","₹21,500",4.5,"1,462 Ratings & 205 Reviews"
Google,"Google Pixel 3 XL (NOT PINK, 64 GB)","₹24,999","₹22,500",4.6,889 Ratings & 111 Reviews
Google,"Google Pixel 6a (Charcoal, 128 GB)","₹43,999","₹27,999",4.3,"71,372 Ratings & 8,337 Reviews"
Google,"Google Pixel 6a (Chalk, 128 GB)","₹43,999","₹27,999",4.3,"71,372 Ratings & 8,337 Reviews"
Google,"Google Pixel 7a (Coral, 128 GB)","₹43,999","₹37,999",4.1,"12,838 Ratings & 1,479 Reviews"
Google,"Google Pixel 7a (Sea, 128 GB)","₹43,999","₹37,999",4.1,"12,838 Ratings & 1,479 Reviews"
Google,"Google Pixel 7a (Charcoal, 128 GB)","₹43,999","₹37,999",4.1,"12,838 Ratings & 1,479 Reviews"
Google,"Google Pixel 7a (Snow, 128 GB)","₹43,999","₹37,999",4.1,"12,838 Ratings & 1,479 Reviews"
Google,"Google Pixel 7 (Obsidian, 128 GB)","₹59,999","₹40,999",4.3,"10,170 Ratings & 1,261 Reviews"
Google,"Google Pixel 7 (Lemongrass, 128 GB)","₹59,999","₹40,999",4.3,"10,170 Ratings & 1,261 Reviews"
Google,"Google Pixel 7 (Snow, 128 GB)","₹59,999","₹40,999",4.3,"10,170 Ratings & 1,261 Reviews"
Google,"Google Pixel 7 Pro (Snow, 128 GB)","₹84,999","₹61,999",4.3,"4,633 Ratings & 659 Reviews"
Google,"Google Pixel 7 Pro (Hazel, 128 GB)","₹84,999","₹61,999",4.3,"4,633 Ratings & 659 Reviews"
Google,"Google Pixel 7 Pro (Obsidian, 128 GB)","₹84,999","₹61,999",4.3,"4,633 Ratings & 659 Reviews"
Google,"Google Pixel 8 (Rose, 128 GB)","₹21,999","₹75,999",4.3,678 Ratings & 105 Reviews
