Brand,Name,MRP,Discount_Price,Rating,Total_Rating,Total_Reviews
Oppo,"OPPO A16E (White, 32 GB)",13990,8849,4.3,1014,43
Oppo,"OPPO A15 (Rainbow Silver, 32 GB)",12999,8890,4.3,2395,126
Oppo,"OPPO A11K (Flowing Silver, 32 GB)",10990,8990,4.2,7442,533
Oppo,"OPPO A17k (Navy Blue, 64 GB)",12999,8999,4.5,13165,307
Oppo,"OPPO A17k (Gold, 64 GB)",12999,8999,4.5,13165,307
Oppo,"OPPO A17k (Blue, 64 GB)",12999,8999,4.5,13165,307
Oppo,"OPPO A16k (White, 32 GB)",13990,9390,4.2,728,39
Oppo,"OPPO A18 (Glowing Black, 64 GB)",14999,9390,4.3,599,33
Oppo,"OPPO A1K (Black, 32 GB)",10999,9899,4.3,14236,882
Oppo,"OPPO A12 (Deep Blue, 32 GB)",10990,9990,4.4,75844,4509
Oppo,"OPPO A12 (Black, 32 GB)",10990,9990,4.4,75844,4509
Oppo,"OPPO A12 (Blue, 32 GB)",10990,9990,4.4,75844,4509
Oppo,"OPPO A3s (Red, 16 GB)",13999,9990,4.4,29672,2393
Oppo,"OPPO A16E (Blue, 32 GB)",14999,9999,4.3,1014,43
Oppo,"OPPO A18 (Glowing Black, 64 GB)",14999,9999,4.3,599,33
Oppo,"OPPO A18 (Glowing Blue, 64 GB)",12990,9999,4.3,599,33
Oppo,"OPPO A33 (Mint Cream, 32 GB)",12990,10490,4.4,51885,3358
Oppo,"OPPO A33 (Moonlight Black, 32 GB)",12990,10490,4.4,51885,3358
Oppo,"OPPO A15 (Mystery Blue, 32 GB)",11990,10890,4.3,2395,126
Vivo,"vivo Y02 (Sunset Gold, 32 GB)",12999,7137,4.2,1175,57
Vivo,"vivo Y1S (Olive Black, 32 GB)",10990,7290,3.8,348,24
Vivo,"vivo Y1S (Aurora Blue, 32 GB)",10990,7990,3.8,348,24
Vivo,"vivo Y01 (Sapphire Blue, 32 GB)",12999,7999,4.2,1756,93
Vivo,"vivo Y01A (Sapphire Blue, 32 GB)",12999,8490,4.2,96,6
Vivo,"vivo Y01 (Elegant Black, 32 GB)",12999,8499,4.2,1756,93
Vivo,"vivo Y02 (Cosmic Grey, 32 GB)",12999,8499,4.2,1175,57
Vivo,"vivo Y02 (Sunset Gold, 32 GB)",12999,8499,3.9,14,2
